Df: 2.2
kf: 1.13
n: 100
k: 0.9
a: 30

Rg: 230.19

X Y Z
0 0 0
22.8287 16.8367 45.9497
44.994 34.4599 91.9293
12.3235 -52.4726 -3.27989
4.48925 23.4933 -48.4139
-35.8582 -72.0972 11.1908
-14.3923 -90.2584 -34.9111
76.0846 45.4601 49.1698
12.8649 -120.97 0.158389
-34.9651 60.3605 -48.8253
16.9133 59.527 -86.666
-66.7786 -102.534 -30.3304
-6.58893 -121.616 -78.1755
-56.6619 55.5365 -98.0389
59.1889 -15.687 106.064
-16.9456 -151.837 32.9387
-14.4754 -138.305 85.1574
5.33725 40.1555 128.136
-80.9364 -154.077 -22.6576
-18.9022 0.321202 155.369
54.2035 -21.6326 159.504
-96.4746 -164.617 27.9732
58.5666 31.9202 154.114
42.6749 -68.0475 184.579
6.93206 35.4053 187.271
43.9486 83.7391 158.251
96.3418 -63.7607 188.76
-39.7025 27.0986 213.198
-55.0564 4.53024 -115.696
16.4989 -59.6794 231.063
-37.1189 -63.7102 236.051
80.567 121.09 144.835
28.5919 -12.758 254.899
-23.0332 1.48966 261.816
-105.685 -114.611 -65.7764
63.7522 28.2013 253.453
-68.1973 -202.41 1.74214
-57.5666 -167.625 -69.4156
-8.38835 28.0862 -129.232
142.867 -80.4235 210.527
47.8294 -62.0517 274.981
-132.731 -168.445 -27.8469
-0.737009 -83.7229 284.344
-76.0813 -134.193 -107.567
-57.5095 -250.771 23.2594
-15.6451 100.578 -99.7351
-156.376 -129.927 -76.3531
-54.8313 44.3484 270.063
19.1873 30.0688 286.417
67.83 -13.2728 291.995
-74.3445 -229.944 -44.3025
105.342 62.62 254.721
150.081 -124.524 240.844
-191.753 -136.582 -36.102
152.348 -70.4106 262.737
-219.605 -135.981 10.1575
-126.952 -203.065 -68.8845
-176.165 -200.503 -29.1693
-98.5195 -192.111 -113.467
94.0391 -64.3686 302.825
-180.344 -235.005 12.1601
67.9696 101.14 260.681
-64.9004 -304.002 28.5331
-55.3802 31.644 -162.395
-225.382 -189.556 -9.8328
-60.3755 -192.016 -151.69
77.1364 135.826 220.322
-214.909 -179.97 -61.933
7.21393 -95.6525 336.406
-82.4043 83.5622 294.923
46.9928 -131.9 331.957
134.031 32.6328 289.272
-63.3375 83.3573 -149.038
130.639 -26.2522 313.941
-95.756 -245.649 -106.99
-174.905 -243.528 -61.7767
30.8925 110.753 298.745
-54.2 64.0463 336.632
100.518 84.7946 303.721
-6.64421 34.2421 -185.504
147.966 88.7934 275.073
-44.4513 -255.444 -120.697
22.7981 77.9527 -173.734
-222.159 -258.772 36.7076
-112.118 71.6908 -169.046
-48.6555 9.78838 -211.314
-0.194559 88.9091 337.118
178.696 -49.2193 304.84
127.789 -69.9298 345.566
25.0064 0.649203 -213.536
101.602 173.158 250.715
55.3924 158.838 296.865
-181.149 -281.911 -24.3105
2.74252 162.69 308.23
118.418 -17.1689 365.75
76.9813 99.0615 350.181
-132.9 -201.293 -154.082
-64.2787 135.097 -164.47
4.72862 -271.327 -136.351
128.739 65.8235 345.67
