Df: 2.2
kf: 1.13
n: 200
k: 0.7
a: 30

Rg: 315.441

X Y Z
0 0 0
-3.44401 -17.2728 38.1286
-7.60246 -35.6125 75.6834
-11.7632 -53.6494 113.384
-21.8533 -81.776 142.898
-38.2421 -48.0924 161.894
-16.1998 -37.305 -10.4834
-61.1876 -94.8552 149.662
-37.1166 -15.3129 188.128
40.3596 -10.8225 4.23984
71.0937 -39.4447 3.80992
28.2583 18.2598 -25.1406
3.65251 -18.8863 197.568
-59.8148 -83.0231 189.938
-76.3818 -47.913 205.963
-31.1831 -60.8177 -41.8945
-48.5446 12.2849 217.654
-39.8573 -101.49 -36.0181
98.7987 -9.26049 -5.42853
99.0999 -48.3254 -26.2032
-86.5979 -3.13552 208.813
98.273 31.3291 -16.2086
139.446 -4.23351 3.87261
117.569 -1.04414 -42.0915
-67.4009 47.1965 203.883
-99.1522 64.2739 182.338
-113.25 90.9414 153.113
-84.2892 119.244 164.257
-86.7389 94.6147 208.593
-117.499 66.2547 220.067
150.848 34.995 13.6259
155.18 -42.9279 -0.507214
145.255 71.5818 -6.22675
158.851 11.7081 -29.7924
186.844 53.4136 24.9867
-108.281 -14.5003 242.94
147.584 43.2082 -55.1854
188.136 -17.8396 -24.0209
-86.1742 160.683 157.681
-89.8642 -49.0873 258.058
123.978 60.5782 -85.2693
-119.287 163.3 131.977
219.269 59.9229 50.8757
-147.699 -11.9908 228.66
183.584 62.159 -44.7521
219.319 -35.8652 -2.41765
233.213 46.2632 13.6874
-57.6146 -50.3667 284.935
-152.719 86.8805 210.161
-119.383 91.2667 253.754
165.883 32.6001 -91.4706
231.756 -71.0945 16.7714
-149.387 52.9476 243.942
-115.788 -81.2895 265.472
-109.35 -37.5728 293.438
-183.505 7.67277 238.42
201.186 -43.5505 -54.5602
208.465 94.7891 -35.7958
-158.393 -16.34 269.042
219.33 -73.9664 -31.9844
204.948 134.993 -24.1662
-144.761 40.4807 283.781
224.06 59.7257 -55.6965
251.716 48.5999 -26.1102
274.915 50.3958 16.4881
259.447 88.6828 -16.2309
220.511 54.581 -97.2288
-55.2332 -64.863 324.282
195.022 39.833 -127.176
235.416 15.4719 -100.735
-150.054 -96.3542 246.421
-113.644 42.0749 311.945
-127.785 79.7853 300.03
181.563 4.18901 -144.849
307.164 59.0067 41.9802
-157.825 -133.151 227.724
-148.22 109.926 279.103
235.502 93.5427 -92.6211
-194.441 -31.2011 253.434
-178.997 16.1634 285.864
291.244 104.371 6.28125
-144.304 -43.5159 315.952
165.786 -30.5346 -162.438
-124.944 -14.2845 339.075
-168.075 145.252 268.063
282.858 56.2898 -53.2222
-182.117 -96.1197 273.548
-178.681 -62.5718 301.149
-140.227 22.9289 351.142
275.396 125.849 -27.5585
-216.83 -76.5512 260.279
-201.463 -11.3788 308.241
-240.729 -90.5235 228.694
-162.267 -68.9808 344.11
251.707 160.237 -32.0573
-129.003 -16.8425 380.8
-175.072 -105.732 328.317
-203.487 -47.2299 331.369
225.349 -19.6491 -121.451
311.578 109.016 42.7362
-144.804 -121.304 352.922
328.122 84.8667 72.8541
-179.298 25.7149 366.298
319.304 127.837 79.4796
222.468 75.3707 -133.67
-243.932 -59.2244 287.284
-241.014 -108.452 272.986
299.755 92.8277 -36.5175
218.669 -54.4181 -144.045
-243.155 -16.0702 310.192
241.988 190.909 -59.0534
-180.705 -147.339 327.275
-182.22 -50.9363 376.363
210.805 115.001 -141.247
191.295 26.6408 -178.985
298.276 160.455 -21.0101
-132.612 -107.517 390.674
282.801 198.378 -11.7146
338.9 116.21 11.66
-175.782 -11.7563 390.055
-195.165 -88.5354 361.412
267.807 100.086 -118.652
259.759 -23.2313 -145.265
307.485 143.06 -58.1125
249.836 60.9861 -162.096
280.485 13.297 -144.893
-215.112 5.17533 358.587
