Df: 2.2
kf: 1.13
n: 100
k: 1
a: 30

Rg: 230.189

X Y Z
0 0 0
-6.52859 56.6856 -18.5504
45.0505 -38.8837 7.64925
64.879 -34.6981 -48.8248
30.8059 -90.8407 -18.7619
82.0527 -51.458 53.1765
55.7008 -95.0367 -73.1921
-36.166 2.60794 47.804
48.3857 76.9145 -5.31359
-55.2507 51.6566 18.9943
113.489 -21.5927 -81.4637
-27.5793 -29.9225 97.4833
-17.6921 105.184 14.9643
-92.507 -8.26618 65.3382
79.4385 -110.487 63.6021
107.299 -60.0786 106.92
88.2261 100.58 -43.4279
76.4937 -148.635 17.3843
44.5911 134.669 10.4996
-51.8268 114.494 -33.4934
128.949 29.6912 -108.5
-6.69142 142.077 -61.8127
52.7468 -108.834 117.313
-62.2368 135.789 41.0249
81.3625 165.706 -25.341
19.3918 -161.248 3.95778
42.6953 -156.464 75.2673
138.167 133.819 -44.4534
164.647 -77.4987 104.133
124.216 -146.381 81.1134
-70.0807 109.453 -90.4266
-17.9698 -175.465 -40.7859
17.8295 188.044 4.59447
-36.6329 181.665 -19.7602
127.071 -103.845 142.886
-45.6758 -181.163 12.1283
174.653 -144.015 48.7022
-101.244 -158.782 15.4922
-118.726 124.985 58.1204
-138.933 -128.986 -20.4481
-174.176 -81.2154 -11.7378
-45.8493 185.268 70.745
96.9803 -176.414 125.342
-123.821 95.1233 -112.936
-15.6489 173.266 -112.28
-204.3 -30.1562 -20.985
-205.14 21.4686 -51.5492
-187.802 24.4046 -108.915
69.8124 217.985 5.74819
-224.812 -28.6229 35.3793
-139.774 -179.735 -52.4463
-77.9577 216.409 -45.9347
-52.8535 -232.342 -18.3537
-123.383 191.646 -76.3208
-192.295 -154.804 -29.7195
-241.914 -66.8542 -49.9413
-201.329 71.2066 -143.937
13.6121 244.867 -14.2052
-37.9915 238.577 -84.8104
58.1149 -162.985 169.036
-254.125 -25.2809 87.6246
-84.7239 251.586 2.19868
-36.3814 -249.255 36.8062
-263.226 -29.4327 -91.7197
51.5624 245.843 -60.6683
-245.511 -125.604 -61.5832
210.363 -97.4462 61.1982
-285.088 16.5023 -59.9075
115.614 229.133 -31.3722
34.9247 267.545 37.0928
115.612 -106.278 201.731
29.7544 251.071 -116.32
176.078 -80.9257 168.829
112.263 253.856 28.3578
-21.7192 293.223 -10.5438
-82.5215 278.579 -80.7007
166.729 -156.108 122.32
44.1407 295.648 -23.6524
-246.434 39.0357 -166.972
-25.7772 282.343 -123.994
-53.8384 310.48 37.1065
171.918 247.551 27.1082
122.772 275.202 83.4388
-232.828 -123.505 -120.19
131.48 -156.082 172.072
23.4213 315.335 -76.4077
-102.622 285.432 -136.817
-190.169 -209.209 -4.50686
-114.506 316.958 -47.4734
-231.679 12.0984 -218.515
93.7022 319.548 0.273201
11.0233 345.136 -16.2897
228.086 -62.3437 145.379
-94.9687 -256.924 26.3791
78.0568 -123.174 245.367
120.646 -225.513 100.258
-204.923 -159.519 -159.233
-282.218 -89.5871 -123.381
-295.572 -125.168 -28.5115
-322.936 -35.1046 -90.1434
