Df: 2.2
kf: 1.13
n: 100
k: 1
a: 30

Rg: 230.19

X Y Z
0 0 0
-18.3968 41.4568 39.2797
-21.2158 -25.8454 -49.8187
34.7946 63.6282 22.5736
-17.745 100.722 29.9402
-44.5082 23.4509 -74.8656
1.79832 49.7468 -102.51
-56.1171 5.72419 69.2858
80.2017 32.6136 46.5796
7.17089 -9.709 -108.522
-86.243 63.0038 -92.0053
-29.4016 90.2383 87.8558
-100.782 -31.2013 53.7448
17.2551 107.419 -108.431
-74.2487 120.364 -104.886
-23.6275 15.5402 118.764
-138.5 -41.0941 8.14293
-29.023 -53.325 -128.211
-84.9681 4.94395 121.888
-28.6401 101.133 -146.564
-79.6675 -67.4887 96.6096
-66.5291 90.6774 134.987
30.179 44.7377 -155.136
50.5508 -15.2759 -149.597
-143.366 5.18683 108.12
106.439 70.8458 84.6571
-77.5945 -41.8617 -161.518
3.27134 -10.7206 -186.256
-40.786 -29.7209 154.218
107.266 -22.1772 -131.273
17.05 153.778 -146.52
-11.2504 -87.2944 -174.365
-41.7007 96.2433 -204.921
-190.491 -50.8169 36.47
76.0052 61.5702 135.527
-114.482 -46.6174 140.795
84.5989 12.3555 -190.551
118.852 21.3097 123.56
-8.88204 51.3725 -227.494
-10.3985 12.3665 184.306
165.476 66.8967 74.707
-113.964 16.5025 173.129
-0.106419 -59.7276 186.541
146.438 15.4328 -156.789
66.5934 -41.1823 -210.787
-87.5471 143.193 154.997
83.5704 67.6971 -213.708
-78.2001 58.7444 -234.275
-139.721 148.753 125.894
-129.847 82.482 -215.063
-164.127 46.8193 160.303
-172.732 -36.3809 150.902
-143.846 201.002 96.6888
80.5174 -95.8742 -190.418
-214.937 29.2189 133.684
100.699 -133.341 -148.122
-28.0124 -100.211 -230.509
-16.3206 -48.9869 -259.481
214.547 45.2673 47.7953
-7.94099 54.2263 227.221
31.7133 -104.364 -234.458
119.324 2.57549 -238.494
19.2592 60.4504 -279.702
-101.619 24.0048 -277.225
135.07 -173.952 -120.384
97.8327 -91.5011 -247.698
-119.314 105.301 188.984
-122.511 -52.9156 199.921
-180.864 104.333 163.775
170.305 -171.195 -71.8981
121.797 64.7134 -259.859
-39.8767 -55.6152 231.278
-197.958 175.756 102.566
-106.209 -7.28255 235.303
-228.808 -57.1974 146.199
-173.998 -83.1113 193.814
-135.959 -129.33 197.924
26.6796 -25.243 -293.937
-23.6048 -156.19 -251.651
-199.794 30.2973 205.634
-210.436 -119.717 163.28
-170.357 95.9386 -257.228
-173.345 92.4748 222.109
-50.826 -112.683 -284.583
-282.255 -66.1507 120.445
98.3958 -149.685 -233.06
-160.442 -43.1261 245.368
-235.526 128.129 170.545
78.2706 5.33747 -295.726
52.4365 -98.1635 -290.423
2.87384 -68.7626 271.272
1.92834 20.5385 -323.794
136.564 -180.932 -198.901
20.3848 -196.85 -255.069
-121.303 140.946 237.207
144.28 -63.4937 -273.355
-150.669 -187.369 194.036
-16.2954 -238.038 -231.445
162.79 20.373 -275.83
-225.058 -61.3779 216.629
