Df: 1.9
kf: 1.13
n: 100
k: 0.7
a: 30

Rg: 317.553

X Y Z
0 0 0
-14.7371 -39.1977 -3.21793
-29.3658 -78.3738 -7.12154
14.8126 39.1056 3.91627
-43.843 -117.636 -10.709
29.3642 78.4529 5.92771
9.86628 95.1316 -27.3237
-28.1924 -117.17 -49.6813
-49.6249 -136.81 26.209
-22.9741 99.9279 -53.0628
-18.7891 -158.103 -49.9079
19.0447 -171.234 -62.564
67.7098 94.1165 -1.01951
33.2374 126.342 -42.9351
-53.5277 -176.586 -64.5918
92.6552 115.13 -27.4802
125.968 106.361 -51.5085
29.45 -199.725 -33.5124
24.2165 -206.707 -84.4481
-15.2216 -221.012 -86.447
14.7266 155.822 -66.4353
39.5067 -218.554 -121.729
32.0679 -247.966 -84.2993
108.571 140.031 -69.6113
-26.8974 -246.386 -117.814
12.6308 174.119 -28.6885
-14.874 185.233 -61.6622
71.1446 -241.196 -137.552
107.105 178.712 -53.3142
115.82 186.043 -12.8876
98.6847 -228.399 -166.565
76.0131 -226.659 -201.878
129.894 -251.726 -150.887
18.1139 208.439 -5.107
84.1661 -280.782 -142.787
20.6233 204.628 36.6444
111.529 -255.752 -195.734
168.703 -266.697 -145.078
119.516 -298.101 -157.431
135.83 208.453 -60.6859
53.26 230.996 -9.57016
146.843 -263.87 -216.973
108.344 -294.431 -211.79
-8.55752 234.717 -24.1357
166.265 -304.61 -162.985
54.1306 224.86 51.8732
104.549 -336.934 -151.776
156.027 -312.004 -203.041
120.35 247.334 -64.2409
62.3174 262.843 -35.4109
109.261 -304.319 -252.599
201.263 -326.952 -156.667
13.8947 236.402 63.2735
239.762 -310.551 -160.246
228.38 -337.744 -126.464
35.0941 274.738 -65.0995
179.203 -357.772 -174.763
-20.7661 249.508 43.5032
87.5671 283.702 -9.11748
129.135 287.807 -13.5051
5.66457 303.697 -57.4014
80.3564 314.94 -36.2511
103.403 -378.918 -151.877
258.995 -339.67 -97.7764
-11.2842 287.594 58.4551
34.8507 326.888 -38.0532
-5.99067 287.792 100.12
219.273 -342.933 -191.081
56.2946 343.817 -69.9523
144.582 -386.702 -154.654
247.447 -355.244 -159.542
43.57 339.966 0.894759
282.495 -345.955 -138.344
206.144 -369.705 -220.659
160.746 -404.713 -188.98
12.92 345.676 -68.5496
121.05 -415.247 -197.772
87.4763 351.264 -16.4062
92.3627 363.306 -60.8266
169.834 -421.377 -151.514
233.46 -395.015 -201.236
-27.031 324.439 71.0444
-25.6271 362.097 -71.4635
196.762 -389.894 -256.273
-13.1688 309.395 135.415
132.632 -419.698 -237.897
28.6763 382.851 -80.1171
-53.1559 351.039 51.7078
66.9939 399.805 -83.0009
88.8902 -431.93 -219.019
193.364 -430.744 -193.715
-11.9136 357.745 91.6881
140.647 -450.109 -184.941
100.662 -462.58 -181.826
28.9839 365.642 97.0773
142.53 -428.129 -277.834
240.984 -435.707 -208.415
105.94 -470.086 -223.197
200.003 -471.5 -186.04
130.494 -470.015 -257.271
