Df: 2.2
kf: 1.13
n: 100
k: 0.5
a: 30

Rg: 230.19

X Y Z
0 0 0
-5.64118 12.9364 -26.4732
-10.6601 26.0616 -52.9786
4.73052 -14.4628 25.8544
9.46685 -27.0948 52.6499
13.7112 -40.0223 79.3869
-15.27 39.6491 -79.3249
19.3534 -52.443 106.106
35.713 -59.3682 130.28
59.4338 -65.6498 113.021
7.22473 50.8834 -62.9611
-35.0342 17.9947 -85.6866
82.9581 -75.056 96.955
17.9996 -47.466 151.365
84.1111 -98.2797 115.911
-61.7545 14.605 -72.4756
-65.5529 -9.28872 -90.2144
62.6753 -97.786 136.893
-74.2737 -37.6517 -94.629
-95.4675 -8.5258 -92.343
-100.429 20.9144 -95.2864
67.1878 -123.035 116.785
32.1033 -45.0989 177.737
58.5238 -125.469 147.682
82.5389 -145.859 128.761
28.8527 -58.098 204.578
65.654 -150.807 162.076
105.546 -154.334 146.048
-8.06186 57.4895 -102.341
32.7247 -81.604 222.812
-73.4933 16.7374 -107.818
-125.002 -7.95903 -87.1072
5.44586 83.0053 -110.495
2.983 -84.7255 225.197
-80.3247 43.6181 -119.253
79.2601 -143.711 187.854
57.7457 -97.2113 228.323
-140.018 -30.9654 -99.1584
-119.285 41.0721 -107.038
-139.516 -52.4685 -120.072
55.6115 -156.885 200.784
15.7747 82.3159 -138.653
23.8056 -104.765 239.665
84.4471 -85.9908 236.142
94.2085 -113.93 231.233
96.3245 -62.5766 250.657
27.5921 -102.035 269.3
57.2133 -98.6522 272.637
-142.794 -2.49618 -110.636
-13.6456 77.2195 -141.563
100.723 -103.285 258.514
-11.9829 53.1248 -159.358
54.4545 -128.449 270.508
114.756 -53.4581 272.5
126.802 -91.8645 267.971
99.6719 -125.883 278.218
112.427 -33.1939 294.499
116.656 -68.2511 298.53
-74.7298 30.4874 -145.64
-169.538 -35.5011 -101.986
85.7557 -149.932 289.53
88.1732 -124.693 305.901
97.1608 -67.0205 321.3
-128.948 69.1889 -103.028
74.8208 -84.9575 330.199
50.9947 -101.516 337.822
103.486 -41.9774 336.559
30.941 106.533 -129.513
108.648 -121.437 327.585
-58.8995 12.9785 -164.156
90.8844 -145.575 328.927
-102.805 40.4994 -142.245
64.941 -138.403 342.175
39.6524 80.3616 -156.709
-121.937 18.3368 -148.788
-150.046 -40.4623 -145.468
56.819 -80.1176 358.025
67.2987 -52.6079 363.804
94.2635 -65.6334 362.005
123.532 -108.656 350.281
115.301 -44.7796 366.755
-66.7187 53.1149 -163.635
-124.678 80.8355 -130.343
82.2413 -129.845 365.141
-152.431 69.3023 -121.697
90.1803 -159.572 355.453
61.2142 -42.5055 391.389
4.4182 65.2285 -181.37
-128.318 50.8842 -154.131
59.2827 88.684 -177.814
91.8365 -43.1229 385.375
107.833 -17.7466 384.968
149.605 -112.974 364.478
-8.43745 43.8049 -197.976
15.9542 92.5293 -186.016
153.321 -83.9477 371.088
-82.8481 71.8718 -180.606
87.6866 95.876 -184.255
66.5776 -147.472 383.687
-130.131 35.1354 -179.6
