Df: 2.2
kf: 1.13
n: 100
k: 0.9
a: 30

Rg: 230.19

X Y Z
0 0 0
-21.0638 48.2323 12.0814
19.0176 -49.0645 -12.1248
72.7044 -43.825 -9.61994
-32.1639 24.3179 59.2077
29.4663 -55.5301 -64.7082
107.951 -5.39497 -23.649
109.74 -66.7198 22.32
15.178 86.1733 24.8492
-8.99782 73.4908 71.4398
148.761 -3.70164 11.6733
76.0583 -76.5276 -82.1521
-52.2286 78.0979 -20.3655
17.6204 -106.843 -76.6507
-7.03193 -133.723 -36.8289
13.32 50.2658 114.782
-60.8739 26.4001 104.896
-57.5548 -22.3614 127.859
-24.9072 124.779 65.7498
-111.167 7.2582 100.406
163.215 -33.0637 54.6263
-123.468 -43.5901 87.0214
-38.1125 151.597 20.7784
133.384 -112.222 39.2476
103.012 -142.949 71.6423
-87.5142 -57.7205 155.575
-20.279 -104.277 -115.031
-127.39 57.3728 112.296
-130.316 -77.0759 128.941
6.77376 -68.3997 -144.981
-163.404 0.251858 112.165
-85.5824 155.554 46.2136
-18.874 175.715 -23.5409
76.3054 -126.619 -102.321
70.1492 -185.372 77.6715
-3.2211 -24.7255 -175.125
-130.154 -130.919 124.836
201.392 -11.1621 2.17014
50.9591 -91.3945 -165.835
7.29584 192.782 20.5027
23.252 19.1446 -192.171
-138.137 149.06 35.6369
16.3522 72.5825 -188.596
22.0563 -64.7158 -202.833
218.042 35.9701 -18.2593
-49.1545 211.183 3.68239
-106.943 174.569 92.0194
-156.758 67.8377 156.387
223.093 -45.8409 37.4186
-97.5521 -87.8817 199.227
228.491 -43.8051 -31.2381
220.766 76.3544 -54.004
249.293 6.05698 20.1987
64.3823 35.5916 -223.055
217.8 74.3781 -107.886
236.742 114.267 -19.0272
-95.7273 220.615 29.3343
-140.949 198.472 9.8234
34.3186 -223.519 90.9724
61.2334 -130.083 -202.079
-159.607 21.4932 183.956
-191.596 155.105 30.9929
20.5046 24.2076 -252.4
253.055 -54.7292 -78.0703
-138.207 170.736 135.881
-170.426 -102.486 154.661
-28.9018 3.19151 -258.173
-93.2859 242.665 78.5664
31.6575 -100.437 -242.175
-163.657 -28.5108 203.936
278.718 -11.09 -21.7076
-202.108 182.292 -14.4646
275.749 82.0191 -0.196976
-70.9743 -30.5158 -261.292
-141.494 241.505 48.9544
-146.612 43.5352 231.509
244.584 167.465 -23.9749
-205.125 74.5241 179.449
243.432 -85.6276 -121.299
-178.883 234.775 -2.79117
110.272 -151.702 -208.699
-149.811 -172.987 152.403
263.085 61.2549 -134.212
-63.8297 286.895 88.1611
76.1733 -244.776 117.662
-66.9729 -83.9138 -268.267
-232.56 183.798 51.3555
-119.106 288.181 33.5891
-179.58 -99.2048 207.778
-170.01 263.82 -47.4417
306.369 27.0273 4.72097
-271.662 146.555 51.2617
-121.13 -20.0732 -278.36
289.615 -78.7913 -46.4413
294.198 131.01 -13.4455
-48.0841 -134.496 -267.442
317.022 20.9529 -47.8682
296.515 96.6447 -110.845
-150.547 277.495 88.1821
-247.629 104.478 164.883
