Df: 2.2
kf: 1.13
n: 150
k: 1
a: 30

Rg: 276.775

X Y Z
0 0 0
-2.29925 55.1225 -23.5844
32.6019 103.91 -24.8786
81.4758 75.2408 -44.6122
-54.1297 74.4584 -46.8164
11.7458 150.534 -56.3619
34.8204 -19.0847 -44.9812
-39.5017 137.081 -84.5166
75.3844 -6.14651 -2.70636
-95.9321 47.2433 -13.4713
70.3237 155.851 -68.2093
-109.96 69.9016 -68.3154
46.09 157.126 -123.083
133.353 59.6397 -70.4068
-44.3432 -40.2509 -3.67988
69.3243 -8.14371 56.9534
55.7553 201.198 -31.7203
-7.89367 171.509 -144.967
101.724 149.952 -144.377
12.3269 -11.1898 75.447
-58.74 -61.4872 -57.9178
49.3062 214.786 -106.802
59.1919 152.903 -186.594
185.518 65.875 -41.4255
114.594 117.73 -193.326
-59.8813 201.407 -146.802
9.68895 220.388 -174.994
-63.9764 -17.429 48.221
-159.049 98.7808 -87.1898
123.366 -26.1021 38.0596
-15.1319 -77.8222 32.8591
157.946 148.496 -165.506
66.1607 212.737 -193.767
207.135 96.9817 5.10505
223.471 49.5308 -84.9281
117.933 231.77 -170.159
194.767 115.681 60.759
117.304 108.756 -252.59
75.5849 272.981 -159.756
105.292 167.341 -257.443
27.8391 236.064 -233.608
104.107 234.972 -234.58
-104.106 -37.7785 -8.40221
234.886 -9.36605 -84.0148
-134.238 22.9055 25.7762
-18.0544 266.229 -209.445
116.057 -85.1667 30.4472
-24.6927 219.699 -257.538
6.60966 183.332 -293.56
136.537 285.57 -189.119
163.9 238.366 -238.213
29.9828 296.004 -232.006
12.4808 -112.116 -7.90212
231.12 162.265 50.3422
-54.5811 -99.2331 -7.71542
60.4173 253.856 -280.747
-197.509 144.076 -78.869
122.351 230.972 -291.599
111.026 291.954 -252.05
57.0492 -51.4108 96.6684
6.6742 0.652484 133.994
-8.19934 -64.2617 94.4745
162.944 187.861 -301.276
-179.384 61.557 34.0158
-216.787 98.5662 -44.8509
-4.75285 244.046 -308.622
285.642 14.8348 -63.0816
-168.569 -24.852 13.92
-40.3309 280.56 -276.984
36.9889 37.344 170.529
-46.114 205.474 -328.658
217.215 223.876 -261.613
80.1816 341.104 -236.791
15.4302 311.314 -288.165
169.664 299.431 -262.335
77.4753 305.336 -306.416
124.896 227.774 -351.46
-97.2627 -20.9959 98.0135
90.7325 -137.407 15.2924
167.477 -85.2689 61.3657
295.267 -29.2518 -102.626
-32.0165 -136.117 33.8828
26.774 241.131 -359.588
38.3718 -147.164 42.9177
-247.359 159.098 -108.69
-101.01 -126.46 18.8003
48.0562 -180.343 -6.12667
318.38 26.2315 -14.1085
-244.261 136.659 -7.51342
23.8328 -200.778 -57.0743
-16.595 1.8333 189.286
1.41204 -93.9635 145.713
-74.8388 258.08 -325.914
138.039 355.106 -229.273
98.4261 187.01 -386.64
-87.5858 316.867 -283.967
-22.5634 287.665 -345.773
345.109 72.5063 -41.3887
27.0883 199.892 -403.168
158.403 188.016 -387.968
-100.299 -78.627 114.428
-188.56 -78.721 31.1967
222.546 323.57 -247.477
62.3722 -220.042 -98.8305
-103.51 -32.3046 156.606
75.2754 270.812 -378.737
-9.03535 -191.38 38.1101
-34.3082 -58.3391 178.194
-73.8734 15.4588 200.841
148.328 324.722 -312.386
165.618 271.673 -355.28
88.4577 400.188 -243.159
29.9989 357.148 -324.04
329.498 -64.0074 -67.6926
-100.114 246.263 -379.032
71.9876 -176.733 82.8631
-92.8243 -162.581 66.005
-18.3907 237.451 -414.167
-155.01 -146.818 35.2166
40.4728 398.628 -279.145
8.07101 -245.182 -103.23
353.426 -25.0571 -28.8298
-74.9074 315.113 -356.104
208.198 162.706 -409.874
21.8371 -233.459 3.42739
-131.204 200.704 -402.651
-131.678 -131.294 99.3445
124.172 -168.749 111.377
108.972 -215.494 55.8503
17.6776 427.913 -231.999
5.14399 326.251 -382.426
68.9116 347.504 -368.681
155.701 232.032 -428.653
-129.44 38.0669 201.941
163.541 -212.903 31.0408
-161.582 -25.4145 170.029
45.6177 208.488 -459.584
-77.7777 63.4062 236.699
349.999 -43.8867 28.0359
-22.8561 371.999 -348.243
-174.815 76.6136 194.508
176.279 -238.979 -21.474
94.3216 174.869 -469.468
121.812 330.347 -391.202
-34.7788 4.92676 246.38
-93.9356 -54.5984 211.482
101.59 248.677 -448.526
71.5889 314.332 -419.876
164.276 -148.872 151.334
-55.4043 -110.655 198.638
