Df: 2.8
kf: 1.13
n: 100
k: 0.9
a: 30

Rg: 148.748

X Y Z
0 0 0
-25.0911 -47.8012 -1.21858
0.150858 48.7111 -23.3068
15.1952 -56.9832 -35.9851
49.0311 30.8603 -37.7314
-28.3827 40.1911 -68.354
-38.4846 -61.3899 -51.7355
-24.7845 10.063 46.9091
1.3485 -35.8996 57.8871
-4.18868 -83.8461 33.1304
-64.2712 -82.8103 11.2426
-73.8195 -53.674 55.6938
19.9404 -44.4907 -88.3054
-45.9905 -1.46604 -97.8608
-38.2695 -60.9153 -105.733
-77.6332 -91.9734 -72.9024
18.2878 36.1243 -95.2115
-79.9246 41.06 -84.4374
53.8582 -40.2604 46.0672
-112.171 -82.1296 -13.6803
59.4447 -80.8432 -82.4827
47.6082 56.1951 9.93538
8.62705 61.5115 46.9246
3.51852 -93.2771 -116.8
25.0587 86.1832 -53.1638
-78.5797 -34.6438 -130.246
45.4342 -56.7775 -134.296
-37.2593 -126.477 27.9638
-46.7573 18.8381 -147.892
105.376 -62.7047 -60.6353
10.8122 95.7068 1.05987
-83.8499 -129.922 -34.9911
-34.813 -77.1992 -157.103
-38.3619 -156.921 -24.1333
9.29902 -151.019 15.8806
99.622 41.5774 -53.2783
85.2747 -126.551 -69.8508
-122.96 -8.95872 -113.314
-15.0242 -92.0169 85.3973
-140.943 -46.6125 15.0724
-105.718 73.122 -49.4701
103.783 37.1752 0.380838
-20.8077 110.349 -68.2729
107.218 -47.8659 42.7628
-2.05921 -29.6482 111.416
-16.3511 63.4424 -149.277
98.0095 -68.0875 -129.404
-109.261 -122.465 22.105
136.622 -5.28131 -5.53704
66.3871 -37.3883 98.5151
144.657 -60.4862 -23.6481
57.9771 78.1969 61.1431
74.444 103.043 8.87941
21.7316 -141.381 -133.24
-64.7862 -62.3391 108.223
111.814 -17.1854 -140.998
101.327 95.5304 -51.8066
-1.49156 68.2511 99.5382
-80.8879 79.5887 -122.261
71.6398 14.7427 111.583
-57.6364 -34.3336 -180.717
43.0618 -82.5955 116.633
147.077 -69.6818 -94.2258
-148.548 -86.0631 -53.3951
-120.893 -48.6843 81.6783
-76.765 -168.458 -72.1494
-56.7915 -176.82 27.7461
117.997 71.0809 39.9328
116.364 -69.3517 91.4527
-39.9327 -130.955 -157.376
26.4407 -199.094 -1.75208
104.538 -137.641 -119.064
-95.1897 -177.552 -12.215
-25.9398 -137.411 112.531
-124.62 -102.498 79.1944
-163.358 -105.671 -5.31013
-103.756 -155.731 64.2842
49.2437 -136.223 118.022
28.013 -13.6058 153.3
121.712 -4.69949 106.036
18.4499 112.913 76.6556
166.769 -109.144 -15.9352
42.5758 53.6466 135.2
83.9984 -42.5399 149.302
186.382 -27.0731 -15.9916
42.9477 130.499 -78.3046
-6.89092 -34.022 -199.178
166.435 -56.9115 75.5099
180.666 -11.3167 50.3189
93.1986 86.0095 101.323
-139.726 -0.854002 98.2188
-78.5835 -149.437 112.415
46.3094 148.654 15.5205
-78.4014 119.165 -85.6065
126.616 116.439 5.04784
193.094 -75.2856 16.8758
102.604 -132.703 125.523
-76.7057 -70.0332 160.326
-142.195 -108.909 -101.91
97.6569 47.5159 145.715
