Df: 2.2
kf: 1.13
n: 50
k: 1
a: 30

Rg: 167.978

X Y Z
0 0 0
-1.03884 -27.4177 -53.3591
-1.98073 -83.8152 -73.8148
58.8721 5.20806 -10.3415
-32.7608 45.5306 -21.3001
10.3654 25.0791 53.5126
-27.4162 -33.5593 -106.899
85.4985 -33.9175 26.5397
60.3956 -85.8974 42.9085
15.901 -124.965 33.2136
98.3303 8.21738 67.2828
54.4194 24.7934 104.66
-0.505355 78.1001 79.4086
-43.0052 46.0951 107.148
33.5886 120.193 53.6054
52.4468 -119.085 92.258
133.121 43.1037 101.526
-76.1612 -31.6658 -71.9655
29.5162 -33.9406 -125.834
3.20692 82.4759 139.134
92.0046 133.599 56.4078
-5.93911 145.439 91.0243
50.2974 -91.6426 -102.2
-37.7896 -151.543 29.9145
-55.5457 -101.864 -93.9407
40.7257 -179.199 26.7094
-25.1312 4.51532 -153.214
-72.0474 -59.8629 -137.167
47.9799 120.064 125.623
-73.2265 83.9983 142.503
25.5044 -145.263 -112.694
1.46403 -45.8949 -177.508
52.5521 -77.1795 -174.15
-114.723 -99.0695 -121.622
17.0854 -196.775 78.9802
-59.5166 -207.471 29.9137
-107.687 -23.0674 -168.407
49.2857 -26.1023 -207.862
-80.7324 -81.1224 -192.598
68.4635 73.7748 157.837
186.74 17.0269 94.8221
186.796 -39.3295 115.412
1.13637 -94.9174 -212.101
24.546 54.5773 193.93
-103.271 40.3846 170.702
-165.834 -69.149 -131.231
98.104 36.64 194.476
-24.6949 100.347 189.155
-39.63 -47.1069 -221.209
147.252 153.174 69.2336
