Df: 2.2
kf: 1.13
n: 100
k: 1
a: 30

Rg: 230.19

X Y Z
0 0 0
-19.6662 41.4423 38.6753
-62.336 45.709 80.6405
48.3413 32.6278 14.0908
3.15165 -55.47 22.6528
-22.9131 -67.5077 75.3379
24.0909 1.08789 -54.9404
44.4207 76.9781 -26.1297
88.5371 77.1124 16.4169
56.2378 119.879 43.3949
134.613 41.009 29.5911
62.9773 133.508 -33.8794
131.9 111.845 -6.23922
-52.218 -53.6261 -0.386383
150.492 1.08848 71.4744
23.6109 165.874 63.8856
60.2175 153.771 109.858
-81.6085 -10.6718 87.6954
166.996 114.907 42.3295
187.383 47.8914 78.4404
146.684 169.04 4.25533
66.2422 187.257 -60.344
14.3559 -34.5339 -102.23
216.339 87.1524 22.457
115.93 208.815 -34.5298
200.923 164.359 40.4663
191.719 -41.7711 79.4378
132.827 232.437 17.9726
183.187 208.25 -22.7643
70.4039 -50.19 -116.842
-38.9015 -8.32826 -111
-82.0528 82.6927 123.576
229.249 170.663 -14.6748
102.792 237.555 -85.534
172.765 240.983 61.9261
183.289 223.381 -80.825
58.1349 272.696 -66.2759
-10.6623 -93.6943 -21.4843
-27.824 -72.1652 -82.1119
276.255 134.005 -21.5076
125.995 287.309 41.2614
-73.9451 27.02 144.428
253.538 212.292 21.0615
270.651 181.814 69.829
0.155418 275.323 -81.4903
276.32 199.431 -38.2684
28.3777 265.401 -133.5
257.139 218.799 -91.7193
197.026 293.088 79.1465
319.294 157.111 13.3316
118.212 328.616 84.0776
212.277 -89.9299 50.1449
30.0728 -110.282 -62.2948
-87.7088 131.4 158.153
335.039 114.379 -25.7322
-119.091 40.8394 101.747
266.382 -72.6834 30.7754
226.541 313.405 31.0214
214.549 -95.3291 109.858
334.999 186.947 -37.2889
316.617 242.11 -22.4842
55.8564 -144.704 -20.4581
289.262 285.913 8.06068
-11.1679 -64.7869 -147.322
-19.3677 -123.156 53.186
303.852 -64.8267 76.9736
-14.886 -25.5767 -192.585
25.7769 328.178 -93.7354
-94.1499 -24.5719 -127.845
-25.1807 -133.226 -66.8355
-51.7734 289.148 -108.179
361.219 160.156 56.1446
-60.9661 -126.044 -16.6875
19.9692 -152.134 -104.084
88.6527 -190.593 0.00215446
-41.3362 267.245 -163.054
-171.632 48.4343 73.7872
-100.276 -83.7244 -119.88
5.20408 274.676 -200.186
-55.543 -93.6836 -175.533
-144.305 33.6569 155.716
-81.5582 -139.531 -86.376
281.281 -129.594 42.576
-82.0995 314.329 -62.9429
327.043 235.925 -81.2471
-144.749 -88.0512 -79.8368
314.846 223.411 -138.646
383.899 135.426 2.0108
-101.07 -59.5176 -194.505
29.2136 -177.749 -157.548
-213.09 53.6046 30.7232
-25.9935 -159.129 -171.883
-62.5754 -83.6321 -234.265
-104.04 -139.316 -142.138
201.3 315.598 134.599
195.876 352.736 72.7641
294.98 -153.571 -10.6918
122.666 -235.68 20.2564
-231.745 91.0669 -12.2718
368.903 210.477 6.2633
