Df: 2.2
kf: 1.13
n: 20
k: 1
a: 30

Rg: 110.756

X Y Z
0 0 0
16.0857 54.8088 -18.3642
26.4462 -47.2725 25.8052
-19.9219 70.6303 26.9473
-50.346 77.172 -24.3516
57.7523 56.5195 -61.5031
15.233 101.642 64.3962
-40.5738 136.104 -18.7323
0.871305 148.721 -60.2427
38.5196 73.7146 -115.674
69.974 -10.6636 44.9136
78.9116 115.311 -100.239
84.0825 35.812 -125.023
-110.259 80.0898 -22.9768
69.7667 106.339 88.9728
77.5045 18.0099 97.0779
-90.4166 154.782 8.95938
25.6615 199.879 -79.433
55.431 115.766 -155.452
-0.689883 187.042 -131.786
