Df: 1.8
kf: 1.13
n: 100
k: 0.9
a: 30

Rg: 362.031

X Y Z
0 0 0
18.4776 1.09119 50.7286
-17.9028 0.0319089 -50.946
-36.4393 -1.6443 -101.637
35.1779 -49.9429 56.4401
15.3931 22.9452 100.012
-19.2396 -3.80963 131.647
-64.6787 -31.6329 140.431
-9.10517 43.7579 -91.2693
-29.9966 32.0211 170.589
-37.8115 85.4485 171.254
-91.4979 91.0939 172.632
-14.9725 129.936 191.631
-107.036 73.4248 221.236
-14.9481 119.91 244.692
-154.476 99.2211 221.082
-45.0712 108.179 287.946
4.1307 156.595 279.422
-84.0246 11.0709 -79.502
-175.373 141.368 247.596
9.99303 -34.6404 -81.5344
-217.312 145.709 213.858
-49.0772 140.774 330.813
29.6319 199.896 299.188
-58.8212 -49.0416 -88.6546
-23.8155 80.8541 -127.649
9.81675 -87.6381 -91.8887
72.9885 169.081 308.494
-58.5534 9.19224 -149.695
18.0149 80.081 -161.79
-12.1105 7.34231 -177.183
42.2378 -112.645 -127.096
61.6467 -75.3714 -161.007
29.4619 -6.99691 -208.522
26.3101 -162.263 -141.249
10.4342 -135.126 -185.152
21.7465 -212.744 -122.624
70.6047 -199.884 -141.689
-24.9767 197.146 300.022
19.2961 245.772 272.644
-199.325 180.401 276.208
60.5803 -138.629 -204.878
-245.662 176.877 248.705
-187.831 158.295 324.117
2.31268 250.73 323.663
-29.6077 290.211 305.269
-217.347 209.624 317.888
22.6883 -16.8618 -261.18
13.391 -200.924 -176.667
122.117 -191.958 -155.821
-280.107 172.601 290.072
-5.35463 -181.48 -223.427
-53.7493 333.656 284.157
110.593 -146.827 -223.521
57.1994 -217.855 -203.316
-23.6049 251.056 371.036
29.0085 291.534 346.865
97.7154 -116.713 -266.456
49.5753 -190.808 -249.428
94.1148 -254.331 -188.393
-28.3344 374.216 259.159
148.765 -107.977 -281.74
92.8472 -227.508 -242.712
92.3454 -150.098 -308.558
42.508 -159.234 -327.233
97.2625 -307.877 -194.632
188.573 -106.583 -318.201
107.471 -239.537 -293.284
-72.4088 270.478 358.507
112.355 -297.143 -245.357
-308.015 213.337 268.215
-97.6029 334.517 315.655
-121.637 292.458 361.583
152.171 -309.306 -210.966
223.331 -147.615 -313.275
182.289 -152.441 -348.035
194.599 -297.933 -242.374
74.5519 320.547 347.043
143.506 -278.075 -304.782
196.027 -274.434 -292.77
232.373 -238.933 -311.061
246.433 -313.043 -241.395
196.479 -351.356 -250.024
248.22 -288.615 -297.041
157.394 -319.195 -336.912
68.1622 277.888 381.46
208.471 -298.196 -339.637
290.34 -316.06 -272.684
160.154 -370.105 -319.12
-41.6402 322.136 347.126
-74.1764 249.649 408.297
-127.659 242.208 407.796
-27.59 278.618 417.301
-2.83099 342.823 378.462
-91.4049 311.427 402.107
25.0267 384.968 359.39
259.285 -267.069 -348.478
186.261 -401.108 -268.361
-153.52 333.288 376.827
128.601 -325.495 -382.158
