Df: 2.2
kf: 1.93
n: 200
k: 1
a: 30

Rg: 247.312

X Y Z
0 0 0
12.8274 -34.8502 -47.1267
-46.8105 -31.0485 -41.7539
-27.9581 10.6757 -80.5312
-66.7918 13.4822 -6.85748
-33.9718 -71.4702 0.687248
-99.0873 -44.9985 -15.8206
8.64245 44.23 -39.6108
-50.4097 -95.2942 -51.8695
-113.733 -30.8809 -72.267
-27.6415 48.0116 23.0399
-123.935 30.1965 -14.2956
14.0233 -93.4664 -27.8197
-68.4866 48.8547 -102.888
-94.3038 -93.3611 19.3671
-112.059 63.8224 -62.5478
-127.54 19.3792 44.611
-42.763 -91.1761 56.6729
-42.1805 99.5311 -4.05914
19.8076 7.08968 -116.664
-38.6046 -131.227 -2.08651
-84.1232 -60.989 87.947
72.1993 -43.4721 -46.3243
42.2545 -105.095 23.8308
-132.847 -122.262 -16.3982
15.9074 70.2596 -93.1802
-95.8872 32.7599 93.7951
8.81492 -43.9218 -146.278
47.5766 -121.964 -68.5882
-158.804 -52.7635 -105.278
-94.0231 -126.603 69.316
-45.3896 -35.1231 125.771
-3.77171 -165.778 32.4511
-37.4209 -131.119 101.125
96.9783 -97.2514 -36.6402
0.973965 -93.0914 127.196
-56.5809 -185.063 53.4101
-48.6886 101.114 -81.0463
-184.606 27.1299 27.777
120.195 -56.0204 0.251224
41.1927 -94.4234 -145.155
-144.255 -110.631 97.9799
33.8107 -150.115 -119.755
-143.898 -159.077 61.705
123.049 -15.4723 -61.5015
-166.365 16.5966 90.2712
55.4149 -181.349 -72.0446
-142.557 69.753 75.8629
15.2491 -190.114 83.8901
-7.32352 -109.105 -177.258
-25.8346 -41.9269 -195.221
-87.1598 -53.1427 164.893
-58.4435 63.8687 -160.104
-93.3463 94.0335 100.127
113.974 -154.655 -32.6389
93.9228 -119.874 -132.047
-4.2377 87.5355 -150.024
148.966 -90.4002 -65.8006
-17.1942 150.255 -24.1292
72.6726 -211.816 -23.3215
-155.499 89.6521 -94.8876
-101.896 -197.118 90.8432
-48.1175 11.2931 -211.686
-132.227 30.7831 141.497
-36.0894 -178.785 137.542
-26.2926 -232.407 74.6366
54.0393 105.289 -123.494
-136.13 -218.78 46.5851
-204.881 -36.7066 -140.193
24.4383 -193.146 -160.503
40.1633 147.839 -41.5728
41.6499 -238.066 -85.963
-64.2391 158.113 -70.5955
-38.5481 -116.379 -227.974
-119.3 126.331 -125.618
83.9203 137.699 -1.79187
-79.019 -157.115 -210.577
0.724748 -100.07 186.788
-50.3267 135.206 107.486
85.6304 -227.037 33.2509
-46.3873 -34.4305 204.736
-201.635 -174.441 67.2197
-159.906 -194.605 107.328
-225.656 16.2933 99.4645
47.3913 -206.395 131.867
-71.3185 -234.735 126.198
24.0677 156.355 -98.7428
149.116 -180.87 -73.6004
196.326 -98.6814 -29.9054
14.8361 -143.761 -228.549
-36.1225 172.936 63.0484
-176.741 119.062 76.203
-61.7172 78.1932 -218.277
12.3962 186.428 30.4311
-95.1773 -79.8019 218.044
130.553 -226.387 -29.4513
-16.6356 13.6725 224.76
-41.3209 200.845 -2.71683
-258.829 -33.2227 92.5589
68.1712 -270.185 -36.4654
-212.647 107.864 -96.4248
-212.101 64.5297 132.472
-16.1535 172.462 -140.25
-37.978 -188.66 196.694
-2.8268 84.0318 -228.168
-231.67 -152.518 114.307
44.6991 183.496 80.9081
