Df: 2.2
kf: 1.13
n: 100
k: 1
a: 30

Rg: 230.19

X Y Z
0 0 0
16.7568 57.0994 7.67266
35.8519 91.6398 52.8649
-19.2939 92.9066 76.4728
38.5943 71.085 -46.434
37.3015 -0.102563 -46.9956
-6.83243 141.146 43.0408
-52.8973 45.0718 89.9875
62.2952 111.465 102.942
-15.9295 113.414 132.759
21.566 190.09 23.0912
16.008 -41.1378 40.6377
6.09097 103.395 -85.1583
53.4635 83.9369 155.518
-65.0754 -9.70556 111.227
-66.3833 96.0097 160.173
84.3567 36.2717 -63.5757
-21.9819 154.968 -72.8209
83.0875 -36.2284 -32.9044
28.2684 -59.1671 -52.4531
32.9263 179.042 -75.1754
111.788 96.678 149.523
-37.3944 165.849 152.504
15.5265 159.588 180.075
39.5775 109.073 208.2
107.065 58.6377 195.682
-52.3407 -64.0397 133.264
32.4983 -1.10669 -106.795
139.249 49.6927 -83.7417
18.2492 48.1135 -138.009
-8.67376 221.156 -65.3882
-17.4481 -63.7297 -91.043
57.2288 -108.715 -34.9525
71.0552 10.4918 -151.279
168.805 -1.78776 -92.4724
-33.0484 131.076 201.207
54.8852 188.054 -130.281
103.132 -100.13 -72.6243
156.591 131.899 168.289
79.7178 229.929 -95.2123
135.873 209.228 -99.4592
-114.869 -35.1247 133.01
166.822 61.8642 191.353
-13.0017 38.5653 -188.33
-135.297 -63.6681 84.3482
-62.7976 220.149 154.988
212.124 48.0365 154.522
-89.796 -106.845 114.165
14.4921 90.5457 -200.252
65.0518 155.858 235.808
73.9267 -107.153 -124.564
97.5677 -34.8922 -180.216
136.111 22.2418 233.519
150.948 -8.20241 -174.038
-171.819 -18.3978 124.242
-83.3259 119.179 231.713
21.7736 193.091 -180.063
94.0722 15.354 -212.821
144.328 83.1597 242.739
-17.3066 161.931 250.198
133.548 -112.937 -128.008
-34.337 176.731 -193.626
256.201 88.2786 148.374
49.6713 -57.8585 -208.118
221.88 7.4957 197.665
-67.9575 215.228 -162.2
26.8288 251.328 -166.539
62.965 -165.826 -118.46
170.341 -146.826 -94.8756
155.995 251.96 -136.461
-145.566 -122.397 91.0946
-165.529 -81.2552 133.1
-186.792 -104.273 51.4463
134.079 -39.0783 -227.644
165.305 -187.026 -50.6191
126.165 -27.2749 265.91
77.1134 -158.163 -176.262
140.82 -172.47 -140.383
165.949 138.915 247.625
191.285 17.0922 256.527
220.227 -169.678 -67.4305
-38.5205 248.06 202.227
108.099 186.313 264.434
127.692 21.578 -262.126
139.566 57.6939 296.857
195.163 91.8323 273.408
-103.147 264.172 160.808
-168.156 -78.7005 192.988
190.169 -18.0063 -230.783
315.283 84.5447 158.145
71.9165 234.174 264.711
218.349 -153.39 -130.262
49.6179 -224.133 -123.17
115.212 -138.75 -218.353
225.718 -30.3312 269.386
-74.913 271.953 -143.927
28.5675 -192.34 -184.936
119.201 10.1841 327.322
137.127 112.793 320.481
128.427 251.283 254.042
