Df: 2.2
kf: 1.13
n: 100
k: 1
a: 30

Rg: 230.19

X Y Z
0 0 0
24.1112 -45.612 30.6299
14.2816 -73.6681 82.7474
-25.0255 -43.717 -32.5967
54.7759 -29.8853 89.3259
-43.7174 -74.5926 98.0856
-5.43157 -60.5415 142.094
73.6324 -66.1158 133.278
39.5438 -27.0641 -36.1085
15.594 -83.013 -52.7433
-97.828 -80.6453 72.8782
-40.3297 35.6953 -26.4455
-10.7266 -4.57793 163.071
1.32965 -3.38438 -75.8445
57.1648 21.9452 -65.901
100.142 -12.3098 134.753
-20.1075 92.0531 -22.5902
-55.0155 -124.96 128.671
-121.27 -116.159 30.5792
-56.8088 35.7369 -84.1381
-46.4004 -81.3181 180.693
37.1791 97.0643 -39.7113
-114.442 -117.609 124.869
40.9608 124.687 13.4173
61.0554 -12.2075 -115.079
-58.6919 134.695 -5.47538
-21.1196 -173.714 120.064
51.4386 64.1326 -108.179
-4.02771 -201.262 69.576
19.7665 9.47072 212.799
84.6077 138.412 52.2321
119.53 20.8325 180.858
7.37142 172.453 27.2082
128.141 77.3631 162.689
-51.5505 -201.885 32.9537
97.7522 127.625 150.431
74.041 173.767 3.57283
-61.0054 78.9675 -125.533
-53.0705 -148.18 183.962
0.276159 -176.752 176.037
137.877 152.072 28.2353
-55.4193 167.363 -55.6959
-37.8489 37.3174 -161.989
64.2647 117.907 -131.498
-16.258 -1.12776 259.595
-87.033 143.228 -100.619
-141.49 -172.213 37.5894
40.592 35.5817 262.644
86.3338 190.802 -52.6293
91.2065 218.919 39.163
-183.46 -131.807 23.2413
-72.0894 -203.577 130.564
-123.433 -196.419 -14.2565
49.1926 225.655 -13.4626
-8.32426 -153.241 230.565
-161.724 -181.311 93.3375
-126.074 112.254 -134.032
-29.5876 -53.2098 286.237
-167.817 69.2801 -130.754
-24.6944 -255.256 27.4492
-63.1435 97.6379 -182.514
96.1751 89.6984 -173.759
-132.244 -231.196 43.5434
-78.7716 207.593 -93.5932
-96.7786 -179.385 210.716
-40.7516 36.5011 -221.913
-189.902 -204.96 24.0268
7.31256 80.2314 284.979
-122.326 91.0252 -190.025
-128.692 -211.906 171.678
-69.8604 156.79 -175.037
-50.1909 -274.436 -23.3648
-17.621 127.634 -207.573
-58.6558 -281.531 69.3563
83.3835 239.238 95.0728
-80.08 -26.5516 304.672
-185.312 -206.212 152.66
-205.175 -226.069 78.0747
-148.105 -270.943 1.48769
-100.121 -296.473 26.8994
-136.661 -286.94 73.5246
-246.424 -215.714 7.0095
-20.9039 -320.014 43.0153
-130.713 -221.727 236.322
-70.1511 -315.815 117.236
55.0265 128.637 -193.522
-169.308 133.764 -169.643
-160.149 -290.715 -53.8653
44.0886 237.491 -72.0616
-161.008 -259.902 187.555
61.5873 209.959 -122.418
-70.3175 102.834 -241.856
-167.963 78.8008 -227.009
-215.177 -280.535 54.9792
-22.0147 187.274 -194.569
36.9464 -332.596 52.7646
49.6834 269.651 27.3305
-51.4856 -344.26 -2.55769
-106.13 -338.591 73.5081
-120.949 184.642 -189.672
